idx,node_id,work_node_id,google_min,google_mile,path4gmns_mile,path4gmns_km,gmns_google_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,106452,80434,28,27.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,72308,74417,20,13.8,23.4901,37.58416,1.70218115942029,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,65245,91340,19,14.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,45421,91340,21,15.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,53757,91340,21,16.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,104746,54711,24,18.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,99013,91340,16,12.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,63323,91340,5,3.1,1.932825,3.09252,0.623491935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,39547,77261,38,32.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,46708,77261,25,17.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,96582,54711,22,19.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,75548,91340,17,12.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,110178,54711,17,12.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,94130,91340,6,2.4,6.00260625,9.60417,2.5010859375,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,94130,91340,6,2.4,6.00260625,9.60417,2.5010859375,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,106032,91340,19,13,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,75803,91340,14,10.8,17.6131375,28.18102,1.63084606481481,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,104693,54711,27,24.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,48760,91340,10,6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,3933,109138,41,35.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,52613,91340,16,11.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,62455,54711,21,15.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,52375,54711,25,19.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,63316,91890,15,11.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,4218,54711,23,18.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,82344,77265,8,3.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,45961,91340,20,17.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,80523,91340,19,15.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,61991,91340,24,21.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,83637,91340,20,17,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,52686,77261,16,10.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,84201,91340,15,9.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,77389,91340,15,12.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,91810,54711,2,0.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,66330,75041,24,16.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,50777,54711,21,17.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,73818,91340,15,11.8,27.25595625,43.60953,2.30982680084746,,,,,,,,,,,,,,,,,,,,,,,,,,,
